Time;Acceleration;Position
2025/04/27_15:34:43;{'x': 0.622492431640625, 'y': 2.27927998046875, 'z': 9.423577734375};(8.7431327, 48.075134999999996, 720416)
2025/04/27_15:34:44;{'x': 0.5578489868164063, 'y': 2.4444798950195312, 'z': 9.45470235595703};(8.7431488, 48.0751318, 720556)
2025/04/27_15:34:45;{'x': 0.603338818359375, 'y': 2.269703173828125, 'z': 9.466673364257812};(8.7431488, 48.0751318, 720556)
2025/04/27_15:34:46;{'x': 0.5961562133789062, 'y': 2.2744915771484373, 'z': 9.495403784179686};(8.7431772, 48.0751351, 720430)
2025/04/27_15:34:47;{'x': 0.6344634399414062, 'y': 2.308010400390625, 'z': 9.390058911132812};(8.7431772, 48.0751351, 720430)
2025/04/27_15:35:00;{'x': 0.584185205078125, 'y': 2.291250988769531, 'z': 9.469067565917967};(8.743195799999999, 48.075148399999996, 717077)
2025/04/27_15:35:01;{'x': 0.5410895751953124, 'y': 2.1595698974609374, 'z': 9.466673364257812};(8.743195799999999, 48.075148399999996, 717077)
2025/04/27_15:35:02;{'x': 0.7302315063476562, 'y': 2.2553379638671873, 'z': 9.497797985839844};(8.743203099999999, 48.0751467, 717136)
2025/04/27_15:35:03;{'x': 0.6105214233398437, 'y': 2.2098481323242187, 'z': 9.509768994140625};(8.743203099999999, 48.0751467, 717136)
2025/04/27_15:35:04;{'x': 0.5722141967773438, 'y': 2.250549560546875, 'z': 9.447519750976562};(8.743203099999999, 48.0751467, 717136)
2025/04/27_15:37:58;{'x': 0.6847416748046875, 'y': 2.1835119140624997, 'z': 9.481038574218749};(8.7432126, 48.0751498, 729842)
2025/04/27_15:37:59;{'x': 0.7350199096679687, 'y': 2.24097275390625, 'z': 9.504980590820312};(8.743216499999999, 48.0751504, 730037)
2025/04/27_15:38:00;{'x': 0.7038952880859375, 'y': 2.2074539306640624, 'z': 9.473855969238281};(8.743207199999999, 48.0751536, 730434)
2025/04/27_15:38:01;{'x': 0.718260498046875, 'y': 2.1978771240234374, 'z': 9.425971936035156};(8.7432052, 48.0751546, 730500)
2025/04/27_15:38:02;{'x': 0.7062894897460937, 'y': 2.1499930908203124, 'z': 9.488221179199218};(8.7432052, 48.0751546, 730500)
