Time;GeigerCounts;Ozone;Pressure;Temperature;CO2;InsideTemp;Humidity;Relative Humidity;BME-Pressure;BME-Altitude
2025/04/27_22:21:12;28;20.0;945.408632883889;23.713857455253603;1558;25.6134765625;37.36327247327247;37.36327247327247;945.7595093034148;577.6957586102897
2025/04/27_22:21:13;27;20.0;945.3995299956354;23.716461362838746;1558;25.6287109375;37.49790385794093;37.49790385794093;945.7546213422132;577.738790226775
2025/04/27_22:21:14;27;20.0;945.4584501760867;23.716598410606384;1558;25.6287109375;37.57647779526669;37.57647779526669;945.7444687307574;577.82817025197
2025/04/27_22:21:15;27;20.0;945.3947525313165;23.71570760011673;1558;25.6490234375;36.8073780581405;36.8073780581405;945.7847656926867;577.4734145310081
2025/04/27_22:21:16;25;20.0;945.4623642504911;23.718105936050414;1559;25.6439453125;37.28454888223272;37.28454888223272;945.7581929553457;577.7073471839991
2025/04/27_22:21:17;26;20.0;945.4323747122343;23.716529886722565;1559;25.6490234375;37.60445563908139;37.60445563908139;945.7390774521847;577.8756334906755
2025/04/27_22:21:18;27;20.0;945.4631933423757;23.71550202846527;1559;25.6388671875;37.48663428682251;37.48663428682251;945.7350048209465;577.9114878894251
2025/04/27_22:21:19;29;20.0;945.4356945183026;23.713035168647767;1559;25.6337890625;37.28462264301959;37.28462264301959;945.7258556163777;577.9920355910023
2025/04/27_22:21:20;29;20.0;945.4409441862924;23.712212882041932;1559;25.6490234375;37.436074440988996;37.436074440988996;945.7678441161094;577.6223827346524
2025/04/27_22:21:21;29;20.0;945.4137255227085;23.711322071552278;1559;25.6591796875;37.44164160517512;37.44164160517512;945.7431498131449;577.8397815963849
2025/04/27_22:21:22;30;20.0;945.4642373420548;23.710979452133177;1559;25.6642578125;37.514587321043;37.514587321043;945.7257256276945;577.9931799889854
2025/04/27_22:21:23;30;20.0;945.4125277969209;23.714337122440337;1559;25.6693359375;36.98690534449335;36.98690534449335;945.7590673830268;577.6996490897096
2025/04/27_22:21:24;30;20.0;945.4619843599348;23.717900364398957;1559;25.6744140625;37.419120325060696;37.419120325060696;945.7551806350473;577.7338664316933
2025/04/27_22:21:25;30;20.0;945.3977254727736;23.72057279586792;1559;25.6642578125;37.45282205124133;37.45282205124133;945.7336842175239;577.9231141694072
2025/04/27_22:21:26;30;20.0;945.4317252929399;23.72208032131195;1558;25.6744140625;37.609963495128824;37.609963495128824;945.7348739394356;577.9126401386892
2025/04/27_22:21:27;29;20.0;945.4329002580998;23.717831840515135;1558;25.6794921875;37.306830249583754;37.306830249583754;945.7648316348553;577.6489031802046
